date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:39	37906/37906	---M-Z	200	added ('OK')	text/html	etag:W/%22639fee36-9412%22	https://themewagon.github.io/clyde/index.html	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/index.html	(from )
13:25:39	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22680fdf61-239b%22	https://themewagon.github.io/robots.txt		(from )
13:25:39	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/portfolio2/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://themewagon.github.io/clyde/index.html)
13:25:39	73641/73641	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-11fa9%22	https://themewagon.github.io/clyde/css/animate.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/css/animate.css	(from https://themewagon.github.io/clyde/index.html)
13:25:39	3440/3440	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-d70%22	https://themewagon.github.io/clyde/css/owl.carousel.min.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/css/owl.carousel.min.css	(from https://themewagon.github.io/clyde/index.html)
13:25:40	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-3c5%22	https://themewagon.github.io/clyde/css/owl.theme.default.min.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/css/owl.theme.default.min.css	(from https://themewagon.github.io/clyde/index.html)
13:25:40	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-1b26%22	https://themewagon.github.io/clyde/css/magnific-popup.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/css/magnific-popup.css	(from https://themewagon.github.io/clyde/index.html)
13:25:40	1858/1858	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-742%22	https://themewagon.github.io/clyde/css/flaticon.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/css/flaticon.css	(from https://themewagon.github.io/clyde/index.html)
13:25:40	265261/265261	---M-Z	200	added ('OK')	text/css	etag:W/%22639fee36-40c2d%22	https://themewagon.github.io/clyde/css/style.css	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/css/style.css	(from https://themewagon.github.io/clyde/index.html)
13:25:41	348360/348360	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-550c8%22	https://themewagon.github.io/clyde/images/bg_1.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/bg_1.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:41	194287/194287	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-2f6ef%22	https://themewagon.github.io/clyde/images/bg_2.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/bg_2.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:41	180543/180543	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-2c13f%22	https://themewagon.github.io/clyde/images/about-1.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/about-1.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:41	1596456/1596456	---M--	200	added ('OK')	image/png	etag:%22639fee36-185c28%22	https://themewagon.github.io/clyde/images/author.png	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/author.png	(from https://themewagon.github.io/clyde/index.html)
13:25:41	135496/135496	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-21148%22	https://themewagon.github.io/clyde/images/work-1.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/work-1.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:42	131529/131529	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-201c9%22	https://themewagon.github.io/clyde/images/work-2.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/work-2.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:42	129892/129892	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1fb64%22	https://themewagon.github.io/clyde/images/work-3.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/work-3.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:42	121766/121766	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1dba6%22	https://themewagon.github.io/clyde/images/work-4.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/work-4.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:42	101670/101670	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-18d26%22	https://themewagon.github.io/clyde/images/work-5.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/work-5.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:43	110307/110307	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1aee3%22	https://themewagon.github.io/clyde/images/work-6.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/work-6.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:43	119817/119817	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-1d409%22	https://themewagon.github.io/clyde/images/work-7.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/work-7.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:43	144052/144052	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-232b4%22	https://themewagon.github.io/clyde/images/work-8.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/work-8.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:43	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-8cfa%22	https://themewagon.github.io/clyde/images/person_1.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/person_1.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:43	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-bb43%22	https://themewagon.github.io/clyde/images/person_2.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/person_2.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:44	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%22639fee36-8918%22	https://themewagon.github.io/clyde/images/person_3.jpg	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/images/person_3.jpg	(from https://themewagon.github.io/clyde/index.html)
13:25:44	20963/20963	---M-Z	200	added ('OK')	text/html	etag:W/%22639fee36-51e3%22	https://themewagon.github.io/clyde/single.html	C:/My%20Web%20Sites/portfolio2/themewagon.github.io/clyde/single.html	(from https://themewagon.github.io/clyde/index.html)
